Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
8 3 -6.927946 0.0 -42.6028 7.61169 -40.6849 268.591 -2156.0 269.03 -2167.75 0.0 269.03 -2167.75 88.7957 -42.6028 -1852.5271 51.9551 51.9551
8 4 -6.927946 0.0 -42.6028 7.61169 -40.6849 268.591 -2156.0 269.03 -2167.75 0.0 269.03 -2167.75 88.7957 -42.6028 -1852.5271 51.9551 51.9551
8 5 -6.927946 0.0 -42.6028 7.61169 -40.6849 268.591 -2156.0 269.03 -2167.75 0.0 269.03 -2167.75 88.7957 -42.6028 -1852.5271 51.9551 51.9551
8 6 -6.830787 0.0 -40.6989 7.58291 -40.556 268.591 -2156.0 269.217 -2169.31 0.0 269.217 -2169.31 88.531 -40.6989 -1852.261 51.5412 51.5412
8 7 -6.830787 0.0 -40.6989 7.58291 -40.556 268.591 -2156.0 269.217 -2169.31 0.0 269.217 -2169.31 88.531 -40.6989 -1852.261 51.5412 51.5412
9 0 -7.2077875 0.0 -49.1902 7.54885 -40.8673 268.591 -2156.0 267.911 -2160.69 0.0 267.911 -2160.69 89.385 -49.1902 -1852.5841 42.1193 42.1193
9 1 -7.2077875 0.0 -49.1902 7.54885 -40.8673 268.591 -2156.0 267.911 -2160.69 0.0 267.911 -2160.69 89.385 -49.1902 -1852.5841 42.1193 42.1193
9 2 -7.206941 0.0 -49.2327 7.54936 -40.8647 268.591 -2156.0 267.913 -2160.61 0.0 267.913 -2160.61 89.3926 -49.2327 -1852.5372 42.1179 42.1179
9 3 -7.206941 0.0 -49.2327 7.54936 -40.8647 268.591 -2156.0 267.913 -2160.61 0.0 267.913 -2160.61 89.3926 -49.2327 -1852.5372 42.1179 42.1179
9 4 -7.206941 0.0 -49.2327 7.54936 -40.8647 268.591 -2156.0 267.913 -2160.61 0.0 267.913 -2160.61 89.3926 -49.2327 -1852.5372 42.1179 42.1179
9 5 -7.2068677 0.0 -49.2393 7.54988 -40.8669 268.591 -2156.0 267.913 -2160.6 0.0 267.913 -2160.6 89.3965 -49.2393 -1852.5299 42.118 42.118
9 6 -7.2068677 0.0 -49.2393 7.54988 -40.8669 268.591 -2156.0 267.913 -2160.6 0.0 267.913 -2160.6 89.3965 -49.2393 -1852.5299 42.118 42.118
9 7 -7.2068677 0.0 -49.2393 7.54988 -40.8669 268.591 -2156.0 267.913 -2160.6 0.0 267.913 -2160.6 89.3965 -49.2393 -1852.5299 42.118 42.118
10 0 -7.0271697 0.0 -45.3372 7.55964 -40.3433 268.591 -2156.0 269.707 -2165.93 0.0 269.707 -2165.93 89.0703 -45.3372 -1852.4897 51.8725 51.8725
10 1 -7.0271697 0.0 -45.3372 7.55964 -40.3433 268.591 -2156.0 269.707 -2165.93 0.0 269.707 -2165.93 89.0703 -45.3372 -1852.4897 51.8725 51.8725
10 2 -7.0271697 0.0 -45.3372 7.55964 -40.3433 268.591 -2156.0 269.707 -2165.93 0.0 269.707 -2165.93 89.0703 -45.3372 -1852.4897 51.8725 51.8725
10 3 -7.0109334 0.0 -45.1022 7.56648 -40.3543 268.591 -2156.0 269.734 -2166.07 0.0 269.734 -2166.07 88.9618 -45.1022 -1852.4764 51.8225 51.8225
10 4 -7.0109334 0.0 -45.1022 7.56648 -40.3543 268.591 -2156.0 269.734 -2166.07 0.0 269.734 -2166.07 88.9618 -45.1022 -1852.4764 51.8225 51.8225
10 5 -7.0109334 0.0 -45.1022 7.56648 -40.3543 268.591 -2156.0 269.734 -2166.07 0.0 269.734 -2166.07 88.9618 -45.1022 -1852.4764 51.8225 51.8225
10 6 -7.0109334 0.0 -45.1022 7.56648 -40.3543 268.591 -2156.0 269.734 -2166.07 0.0 269.734 -2166.07 88.9618 -45.1022 -1852.4764 51.8225 51.8225
10 7 -7.0018034 0.0 -45.1504 7.5601 -40.3344 268.591 -2156.0 269.717 -2165.81 0.0 269.717 -2165.81 88.8726 -45.1504 -1852.3708 51.8858 51.8858
11 0 -7.124005 0.0 -47.2467 7.61092 -41.0081 268.591 -2156.0 268.118 -2162.69 0.0 268.118 -2162.69 89.5953 -47.2467 -1852.2233 46.0803 46.0803
11 1 -7.11204 0.0 -47.2027 7.61739 -41.0057 268.591 -2156.0 268.118 -2162.55 0.0 268.118 -2162.55 89.5975 -47.2027 -1852.0372 46.0389 46.0389
11 2 -7.1021175 0.0 -47.115 7.61816 -41.0382 268.591 -2156.0 268.102 -2162.53 0.0 268.102 -2162.53 89.6944 -47.115 -1851.8486 46.0166 46.0166
11 3 -7.2868834 0.0 -47.7765 7.57931 -40.4466 268.591 -2156.0 268.254 -2164.23 0.0 268.254 -2164.23 91.9464 -47.7765 -1851.806 48.4743 48.4743
11 4 -7.0348105 0.0 -46.9777 7.63172 -40.9866 268.591 -2156.0 267.992 -2161.4 0.0 267.992 -2161.4 89.5146 -46.9777 -1850.8711 45.7523 45.7523
11 5 -7.0954413 0.0 -48.2451 7.6484 -41.1195 268.591 -2156.0 267.967 -2160.5 0.0 267.967 -2160.5 90.0135 -48.2451 -1850.7646 45.6085 45.6085
11 6 -7.0004754 0.0 -46.9818 7.64059 -41.0181 268.591 -2156.0 267.953 -2160.79 0.0 267.953 -2160.79 89.702 -46.9818 -1850.1168 45.6195 45.6195
11 7 -6.9060745 0.0 -44.7306 7.7662 -41.5065 268.591 -2156.0 267.952 -2163.02 0.0 267.952 -2163.02 90.5591 -44.7306 -1849.2394 47.111 47.111
12 0 -7.5524545 0.0 -61.2369 7.51183 -40.337 268.591 -2156.0 269.116 -2149.09 0.0 269.116 -2149.09 89.1126 -61.2369 -1852.0984 48.0273 48.0273
12 1 -7.547427 0.0 -61.2141 7.50782 -40.3462 268.591 -2156.0 269.104 -2149.04 0.0 269.104 -2149.04 89.1723 -61.2141 -1851.9778 48.0419 48.0419
12 2 -7.524836 0.0 -60.9031 7.50614 -40.3238 268.591 -2156.0 269.077 -2149.09 0.0 269.077 -2149.09 89.2439 -60.9031 -1851.6722 48.0488 48.0488
12 3 -7.1183877 0.0 -53.9752 7.5129 -40.2073 268.591 -2156.0 268.792 -2152.59 0.0 268.792 -2152.59 89.3928 -53.9752 -1848.3806 49.2961 49.2961
12 4 -7.1060896 0.0 -53.8881 7.51265 -40.2173 268.591 -2156.0 268.744 -2152.46 0.0 268.744 -2152.46 89.4653 -53.8881 -1848.1388 49.3613 49.3613
12 5 -7.1030245 0.0 -53.7395 7.51438 -40.1974 268.591 -2156.0 268.746 -2152.62 0.0 268.746 -2152.62 89.5263 -53.7395 -1848.0873 49.3848 49.3848
12 6 -7.033608 0.0 -53.2072 7.49544 -40.3016 268.591 -2156.0 268.764 -2152.47 0.0 268.764 -2152.47 89.2101 -53.2072 -1847.703 49.5943 49.5943
12 7 -6.9930363 0.0 -52.5743 7.51331 -40.2711 268.591 -2156.0 268.714 -2152.65 0.0 268.714 -2152.65 89.9772 -52.5743 -1846.5331 51.0828 51.0828
13 0 -7.225393 0.0 -52.624 7.50137 -40.1911 268.591 -2156.0 270.022 -2158.33 0.0 270.022 -2158.33 88.847 -52.624 -1852.0852 54.6182 54.6182
13 1 -7.225393 0.0 -52.624 7.50137 -40.1911 268.591 -2156.0 270.022 -2158.33 0.0 270.022 -2158.33 88.847 -52.624 -1852.0852 54.6182 54.6182
13 2 -7.227099 0.0 -52.5358 7.50396 -40.1441 268.591 -2156.0 269.981 -2158.38 0.0 269.981 -2158.38 89.1415 -52.5358 -1851.7932 54.7885 54.7885
13 3 -7.227099 0.0 -52.5358 7.50396 -40.1441 268.591 -2156.0 269.981 -2158.38 0.0 269.981 -2158.38 89.1415 -52.5358 -1851.7932 54.7885 54.7885
13 4 -7.227099 0.0 -52.5358 7.50396 -40.1441 268.591 -2156.0 269.981 -2158.38 0.0 269.981 -2158.38 89.1415 -52.5358 -1851.7932 54.7885 54.7885
13 5 -7.1449666 0.0 -50.6629 7.4986 -40.1557 268.591 -2156.0 270.115 -2160.16 0.0 270.115 -2160.16 90.2164 -50.6629 -1850.4915 55.6714 55.6714
13 6 -7.1449666 0.0 -50.6629 7.4986 -40.1557 268.591 -2156.0 270.115 -2160.16 0.0 270.115 -2160.16 90.2164 -50.6629 -1850.4915 55.6714 55.6714
13 7 -7.1449666 0.0 -50.6629 7.4986 -40.1557 268.591 -2156.0 270.115 -2160.16 0.0 270.115 -2160.16 90.2164 -50.6629 -1850.4915 55.6714 55.6714
14 0 -6.9494696 0.0 -41.5684 7.67363 -41.1905 268.591 -2156.0 267.71 -2168.07 0.0 267.71 -2168.07 89.8599 -41.5684 -1852.0686 47.2065 47.2065
14 1 -6.9586606 0.0 -41.6695 7.72088 -41.3143 268.591 -2156.0 268.024 -2168.6 0.0 268.024 -2168.6 90.6425 -41.6695 -1851.6033 48.2123 48.2123
14 2 -6.959469 0.0 -41.7096 7.72228 -41.3098 268.591 -2156.0 268.021 -2168.54 0.0 268.021 -2168.54 90.6383 -41.7096 -1851.5903 48.2145 48.2145
14 3 -6.947534 0.0 -41.7464 7.68903 -41.3291 268.591 -2156.0 267.75 -2167.94 0.0 267.75 -2167.94 90.5136 -41.7464 -1851.4229 47.7769 47.7769
14 4 -6.9210496 0.0 -42.458 7.76402 -40.8498 268.591 -2156.0 267.904 -2166.05 0.0 267.904 -2166.05 89.6853 -42.458 -1850.9187 47.9014 47.9014
14 5 -6.4832444 0.0 -37.9019 7.73971 -41.2918 268.591 -2156.0 268.002 -2166.57 0.0 268.002 -2166.57 90.615 -37.9019 -1845.855 52.1353 52.1353
15 0 -7.019433 0.0 -45.3501 7.63343 -41.0995 268.591 -2156.0 268.83 -2165.07 0.0 268.83 -2165.07 89.7235 -45.3501 -1851.8668 55.1712 55.1712
15 1 -7.019433 0.0 -45.3501 7.63343 -41.0995 268.591 -2156.0 268.83 -2165.07 0.0 268.83 -2165.07 89.7235 -45.3501 -1851.8668 55.1712 55.1712
15 2 -6.9206953 0.0 -44.2057 7.6085 -40.9208 268.591 -2156.0 269.137 -2165.56 0.0 269.137 -2165.56 89.061 -44.2057 -1851.5679 55.4244 55.4244
15 3 -6.9751353 0.0 -44.7799 7.62879 -41.0591 268.591 -2156.0 268.853 -2165.23 0.0 268.853 -2165.23 89.6676 -44.7799 -1851.4893 55.1984 55.1984
15 4 -6.9751353 0.0 -44.7799 7.62879 -41.0591 268.591 -2156.0 268.853 -2165.23 0.0 268.853 -2165.23 89.6676 -44.7799 -1851.4893 55.1984 55.1984
15 5 -6.9751353 0.0 -44.7799 7.62879 -41.0591 268.591 -2156.0 268.853 -2165.23 0.0 268.853 -2165.23 89.6676 -44.7799 -1851.4893 55.1984 55.1984
15 6 -6.9751353 0.0 -44.7799 7.62879 -41.0591 268.591 -2156.0 268.853 -2165.23 0.0 268.853 -2165.23 89.6676 -44.7799 -1851.4893 55.1984 55.1984
15 7 -6.9751353 0.0 -44.7799 7.62879 -41.0591 268.591 -2156.0 268.853 -2165.23 0.0 268.853 -2165.23 89.6676 -44.7799 -1851.4893 55.1984 55.1984
16 0 -6.9792466 0.0 -38.0141 7.53783 -40.6326 268.591 -2156.0 266.822 -2172.33 0.0 266.822 -2172.33 92.0614 -38.0141 -1851.4607 45.6167 45.6167
